,time,value
0,12:51:46,2220.00
1,12:51:49,2220.00
2,12:51:52,2220.00
3,12:51:54,2220.00
4,12:51:57,2220.00
5,12:51:59,2220.00
6,12:52:02,2220.00
7,12:52:05,2220.00
8,12:52:07,2220.00
9,12:52:10,2220.00
10,12:52:13,2220.00
11,12:52:15,2220.00
12,12:52:18,2220.00
13,12:52:20,2220.00
14,12:52:23,2220.00
15,12:52:25,2220.00
16,12:52:28,2220.00
17,12:52:31,2220.00
18,12:52:33,2220.00
19,12:52:36,2220.00
20,12:52:39,2220.00
21,12:52:41,2220.00
22,12:52:44,2220.00
23,12:52:46,2220.00
24,12:52:49,2220.00
25,12:52:52,2220.00
26,12:52:54,2220.00
27,12:52:57,2220.00
28,12:52:59,2220.00
29,12:53:03,2218.25
30,12:53:07,2218.25
31,12:53:10,2218.25
32,12:53:14,2218.25
33,12:53:18,2218.25
34,12:53:21,2218.25
35,12:53:25,2218.25
36,12:53:32,2218.25
37,12:53:37,2218.25
38,12:53:41,2218.25
39,12:53:44,2220.00
40,12:53:47,2220.00
41,12:53:49,2220.00
42,12:53:52,2220.00
43,12:53:55,2220.00
44,12:53:59,2220.00
45,12:54:01,2220.00
46,12:54:04,2220.00
47,12:54:07,2220.00
48,12:54:09,2220.00
49,12:54:12,2220.00
50,12:54:14,2220.00
51,12:54:17,2220.00
52,12:54:20,2220.00
53,12:54:22,2220.00
54,12:54:25,2220.00
55,12:54:30,2218.25
56,12:54:35,2218.25
57,12:54:39,2218.25
58,12:54:43,2218.25
59,12:54:46,2218.25
60,12:54:50,2218.25
61,12:54:54,2218.25
62,12:54:57,2218.25
63,12:55:00,2220.00
64,12:55:03,2220.00
65,12:55:05,2220.00
66,12:55:08,2220.00
67,12:55:10,2220.00
68,12:55:13,2220.00
69,12:55:16,2220.00
70,12:55:19,2218.25
71,12:55:27,2218.25
72,12:55:32,2218.25
73,12:55:36,2218.25
74,12:55:40,2218.25
75,12:55:43,2218.25
76,12:55:47,2218.25
77,12:55:51,2218.25
78,12:55:55,2218.25
79,12:55:59,2218.25
80,12:56:02,2218.25
81,12:56:06,2218.25
82,12:56:10,2218.25
83,12:56:13,2218.25
84,12:56:17,2218.25
85,12:56:24,2218.25
86,12:56:28,2218.25
87,12:56:32,2219.10
88,12:56:36,2220.00
89,12:56:39,2220.00
90,12:56:41,2220.00
91,12:56:44,2220.00
92,12:56:47,2220.00
93,12:56:51,2220.00
94,12:56:54,2220.00
95,12:56:56,2220.00
96,12:56:59,2220.00
97,12:57:02,2220.00
98,12:57:04,2220.00
99,12:57:07,2220.00
100,12:57:09,2220.00
101,12:57:12,2220.00
102,12:57:15,2220.00
103,12:57:17,2220.00
104,12:57:22,2220.00
105,12:57:25,2220.00
106,12:57:28,2220.00
107,12:57:31,2220.00
108,12:57:34,2220.00
109,12:57:37,2220.00
110,12:57:39,2220.00
111,12:57:42,2220.00
112,12:57:45,2220.00
113,12:57:49,2220.00
114,12:57:52,2220.00
115,12:57:55,2220.00
116,12:57:57,2220.00
117,12:58:00,2220.00
118,12:58:02,2220.00
119,12:58:05,2220.00
120,12:58:08,2220.00
121,12:58:11,2219.10
122,12:58:15,2219.10
123,12:58:20,2219.10
124,12:58:25,2219.10
125,12:58:29,2219.10
126,12:58:33,2219.10
127,12:58:36,2219.10
128,12:58:40,2219.10
129,12:58:44,2219.10
130,12:58:48,2219.10
131,12:58:50,2220.00
132,12:58:53,2220.00
133,12:58:55,2220.00
134,12:58:58,2220.00
135,12:59:01,2220.00
136,12:59:03,2220.00
137,12:59:06,2220.00
138,12:59:08,2220.00
139,12:59:11,2220.00
140,12:59:17,2220.00
141,12:59:20,2220.00
142,12:59:23,2220.00
143,12:59:27,2220.00
144,12:59:29,2220.00
145,12:59:32,2220.00
146,12:59:35,2220.00
147,12:59:37,2220.00
148,12:59:40,2220.00
149,12:59:44,2220.00
150,12:59:47,2220.00
151,12:59:49,2220.00
152,12:59:52,2220.00
153,12:59:55,2220.00
154,12:59:57,2220.00
155,13:00:00,2217.95
156,13:00:02,2217.95
157,13:00:05,2217.95
158,13:00:08,2217.95
159,13:00:10,2217.95
160,13:00:17,2217.95
161,13:00:22,2217.95
162,13:00:27,2217.95
163,13:00:30,2217.95
164,13:00:34,2217.95
165,13:00:38,2217.95
166,13:00:43,2217.95
167,13:00:46,2217.95
168,13:00:50,2217.95
169,13:00:54,2217.95
170,13:00:58,2217.95
171,13:01:01,2217.95
172,13:01:05,2217.95
173,13:01:15,2217.95
174,13:01:18,2217.95
175,13:01:22,2217.95
176,13:01:25,2217.95
177,13:01:27,2217.95
178,13:01:30,2217.95
179,13:01:32,2217.95
180,13:01:35,2217.95
181,13:01:40,2217.95
182,13:01:42,2217.95
183,13:01:45,2217.95
184,13:01:47,2217.95
185,13:01:50,2217.95
186,13:01:53,2217.95
187,13:01:55,2217.95
188,13:01:58,2217.95
189,13:02:01,2217.95
190,13:02:03,2217.95
191,13:02:09,2217.95
192,13:02:12,2217.95
193,13:02:15,2217.95
194,13:02:19,2217.95
195,13:02:22,2217.95
196,13:02:25,2217.95
197,13:02:29,2217.95
198,13:02:32,2217.95
199,13:02:37,2217.95
200,13:02:41,2217.95
201,13:02:44,2217.95
202,13:02:48,2217.95
203,13:02:52,2217.95
204,13:02:55,2217.95
205,13:02:59,2217.95
206,13:03:03,2217.95
207,13:03:08,2217.95
208,13:03:12,2217.95
209,13:03:17,2217.95
210,13:03:20,2217.95
211,13:03:24,2217.95
212,13:03:28,2217.95
213,13:03:32,2217.95
214,13:03:36,2217.95
215,13:03:39,2217.95
216,13:03:43,2217.95
217,13:03:46,2217.95
218,13:03:48,2217.95
219,13:03:51,2217.95
220,13:03:54,2217.95
221,13:03:56,2217.95
222,13:03:59,2217.95
223,13:04:05,2217.95
224,13:04:08,2217.95
225,13:04:11,2217.95
226,13:04:15,2217.95
227,13:04:17,2217.95
228,13:04:20,2217.95
229,13:04:22,2217.95
230,13:04:25,2217.95
231,13:04:28,2217.95
232,13:04:31,2217.95
233,13:04:34,2217.95
234,13:04:37,2217.95
235,13:04:39,2217.95
236,13:04:42,2217.95
237,13:04:44,2217.95
238,13:04:47,2217.95
239,13:04:50,2217.95
240,13:04:53,2217.95
241,13:04:57,2217.95
242,13:05:02,2217.95
243,13:05:07,2217.95
244,13:05:11,2217.95
245,13:05:14,2217.95
246,13:05:17,2217.95
247,13:05:19,2217.95
248,13:05:22,2217.95
249,13:05:25,2217.95
250,13:05:29,2217.95
251,13:05:32,2217.95
252,13:05:34,2217.95
253,13:05:37,2217.95
254,13:05:39,2217.95
255,13:05:43,2217.95
256,13:05:47,2217.95
257,13:05:50,2217.95
258,13:05:54,2217.95
259,13:06:00,2217.95
260,13:06:04,2217.95
261,13:06:08,2217.95
262,13:06:12,2217.95
263,13:06:16,2217.95
264,13:06:19,2217.95
265,13:06:23,2217.95
266,13:06:27,2217.95
267,13:06:29,2217.95
268,13:06:32,2217.95
269,13:06:35,2217.95
270,13:06:37,2217.95
271,13:06:40,2217.95
272,13:06:42,2217.95
273,13:06:45,2217.95
274,13:06:48,2217.95
275,13:06:50,2217.95
276,13:06:53,2217.95
277,13:06:57,2217.95
278,13:07:00,2217.95
279,13:07:04,2217.95
280,13:07:07,2217.95
281,13:07:10,2217.95
282,13:07:12,2217.95
283,13:07:15,2217.95
284,13:07:17,2217.95
285,13:07:20,2217.95
286,13:07:24,2217.95
287,13:07:27,2217.95
288,13:07:30,2217.95
289,13:07:32,2217.95
290,13:07:35,2217.95
291,13:07:37,2217.95
292,13:07:40,2217.95
293,13:07:43,2217.95
294,13:07:45,2217.95
295,13:07:48,2217.95
296,13:07:50,2217.95
297,13:07:55,2217.95
298,13:07:58,2217.95
299,13:08:02,2217.95
300,13:08:06,2217.95
301,13:08:09,2217.95
302,13:08:11,2217.95
303,13:08:14,2217.95
304,13:08:16,2217.95
305,13:08:20,2217.95
306,13:08:22,2217.95
307,13:08:25,2217.95
308,13:08:27,2217.95
309,13:08:30,2217.95
310,13:08:33,2217.95
311,13:08:35,2217.95
312,13:08:38,2217.95
313,13:08:40,2217.95
314,13:08:43,2217.95
315,13:08:46,2217.95
316,13:08:55,2217.95
317,13:08:59,2217.95
318,13:09:02,2217.95
319,13:09:05,2217.95
320,13:09:08,2217.95
321,13:09:10,2217.95
322,13:09:13,2217.95
323,13:09:16,2217.95
324,13:09:20,2217.95
325,13:09:22,2217.95
326,13:09:25,2217.95
327,13:09:27,2217.95
328,13:09:30,2217.95
329,13:09:33,2217.95
330,13:09:35,2217.95
331,13:09:38,2217.95
332,13:09:40,2217.95
333,13:09:43,2217.95
334,13:09:46,2217.95
335,13:09:50,2217.95
336,13:09:53,2217.95
337,13:09:56,2217.95
338,13:10:00,2217.95
339,13:10:02,2217.95
340,13:10:05,2217.95
341,13:10:07,2217.95
342,13:10:10,2217.95
343,13:10:13,2217.95
344,13:10:17,2217.95
345,13:10:19,2217.95
346,13:10:22,2217.95
347,13:10:25,2217.95
348,13:10:27,2217.95
349,13:10:30,2217.95
350,13:10:32,2217.95
351,13:10:35,2217.95
352,13:10:38,2217.95
353,13:10:40,2217.95
354,13:10:43,2217.95
355,13:10:47,2217.95
356,13:10:51,2217.95
357,13:10:54,2217.95
358,13:10:57,2217.95
359,13:11:00,2217.95
360,13:11:02,2217.95
361,13:11:05,2218.80
362,13:11:08,2218.80
363,13:11:11,2218.80
364,13:11:15,2218.80
365,13:11:17,2218.80
366,13:11:20,2218.80
367,13:11:22,2218.80
368,13:11:25,2218.80
369,13:11:28,2218.80
370,13:11:30,2218.80
371,13:11:33,2218.80
372,13:11:35,2218.80
373,13:11:38,2218.80
374,13:11:41,2218.80
375,13:11:45,2218.80
376,13:11:48,2218.80
377,13:11:52,2218.80
378,13:11:55,2218.80
379,13:11:57,2218.80
380,13:12:00,2218.80
381,13:12:03,2218.80
382,13:12:05,2218.80
383,13:12:08,2218.80
384,13:12:12,2218.80
385,13:12:15,2218.80
386,13:12:17,2218.80
387,13:12:20,2218.80
388,13:12:23,2218.80
389,13:12:25,2218.80
390,13:12:28,2218.80
391,13:12:30,2218.80
392,13:12:33,2218.80
393,13:12:36,2218.80
394,13:12:38,2218.80
395,13:12:43,2218.80
396,13:12:46,2218.80
397,13:12:54,2218.80
398,13:12:57,2218.80
399,13:13:02,2219.55
400,13:13:05,2219.55
401,13:13:10,2219.55
402,13:13:14,2219.55
403,13:13:17,2219.55
404,13:13:21,2219.55
405,13:13:24,2219.55
406,13:13:28,2219.55
407,13:13:32,2219.55
408,13:13:35,2219.55
409,13:13:42,2219.55
410,13:13:46,2219.55
411,13:13:50,2219.55
412,13:13:54,2219.55
413,13:13:58,2219.55
414,13:14:01,2219.55
415,13:14:05,2219.55
416,13:14:09,2219.55
417,13:14:13,2219.55
418,13:14:16,2219.55
419,13:14:20,2219.55
420,13:14:24,2219.55
421,13:14:27,2219.55
422,13:14:31,2219.55
423,13:14:34,2219.55
424,13:14:40,2219.55
425,13:14:45,2219.55
426,13:14:49,2219.55
427,13:14:53,2219.55
428,13:14:56,2219.55
429,13:15:00,2219.55
430,13:15:04,2219.55
431,13:15:08,2219.55
432,13:15:12,2219.55
433,13:15:15,2219.55
434,13:15:19,2217.05
435,13:15:22,2217.05
436,13:15:26,2217.05
437,13:15:30,2217.05
438,13:15:33,2217.05
439,13:15:39,2217.05
440,13:15:43,2217.05
441,13:15:47,2217.05
442,13:15:51,2217.05
443,13:15:54,2217.05
444,13:15:58,2217.05
445,13:16:02,2217.05
446,13:16:06,2217.05
447,13:16:10,2217.05
448,13:16:13,2217.05
449,13:16:17,2217.05
450,13:16:20,2217.05
451,13:16:24,2217.05
452,13:16:28,2217.05
453,13:16:34,2217.05
454,13:16:39,2217.05
455,13:16:43,2217.05
456,13:16:48,2217.05
457,13:16:51,2217.05
458,13:16:55,2217.05
459,13:16:58,2217.05
460,13:17:03,2217.05
461,13:17:07,2217.05
462,13:17:10,2217.05
463,13:17:14,2217.05
464,13:17:17,2217.05
465,13:17:21,2217.05
466,13:17:25,2217.05
467,13:17:28,2217.05
468,13:17:33,2217.05
469,13:17:38,2217.05
470,13:17:42,2217.05
471,13:17:46,2217.05
472,13:17:49,2217.05
473,13:17:53,2217.05
474,13:17:57,2217.05
475,13:18:01,2217.05
476,13:18:04,2217.05
477,13:18:08,2217.05
478,13:18:12,2217.05
479,13:18:15,2218.95
480,13:18:19,2218.95
481,13:18:22,2218.95
482,13:18:26,2218.95
483,13:18:32,2218.95
484,13:18:36,2218.95
485,13:18:40,2218.95
486,13:18:44,2218.95
487,13:18:47,2218.95
488,13:18:51,2218.95
489,13:18:55,2218.95
